corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v0000,Proposed,1.48358,4.59202,23.4205,0.54995,0.0628393,7724.97,0.475,0.970806,1,0.5,-2,-0.5,3
v0000,PDL-Hinf(d=0.95),1202.94,4322.21,22747.5,0.556823,0.0528617,6.86664e+09,0.855,0.957561,1,0.5,-2,-0.5,3
v0000,PDL-Hinf(d=0.90),4770.51,14252.1,75013.4,0.401306,0.0397983,7.71996e+10,0.925,0.933328,1,0.5,-2,-0.5,3
v0000,PDL-Hinf(d=0.85),10476.5,19266,101404,0.554155,0.0397806,2.66659e+11,0.97,0.916687,1,0.5,-2,-0.5,3
v0001,Proposed,0.0325465,0.0352939,0.0776676,0.400542,0.0405264,23.5918,0,0.974388,0,0.5,-2,-0.5,7.5
v0001,PDL-Hinf(d=0.95),0.111696,0.158408,0.491668,0.581129,0.074105,53.5311,0.09,0.959658,0,0.5,-2,-0.5,7.5
v0001,PDL-Hinf(d=0.90),0.746464,1.2669,6.4795,0.770427,0.13483,1204.4,0.54,0.933724,0,0.5,-2,-0.5,7.5
v0001,PDL-Hinf(d=0.85),277.005,409.716,2152.84,0.414725,0.064905,1.40701e+08,0.89,0.91646,1,0.5,-2,-0.5,7.5
v0010,Proposed,0.045154,0.0597496,0.125821,0.400542,0.0385959,22.7138,0.02,0.968831,0,0.5,-2,2.5,3
v0010,PDL-Hinf(d=0.95),0.162746,0.195028,0.430817,0.400852,0.0869626,63.1091,0.435,0.953261,0,0.5,-2,2.5,3
v0010,PDL-Hinf(d=0.90),0.287617,0.368685,0.693215,0.434764,0.0957794,122.614,0.895,0.926075,0,0.5,-2,2.5,3
v0010,PDL-Hinf(d=0.85),0.414096,0.828436,1.6086,0.510852,0.103805,272.334,0.965,0.914252,0,0.5,-2,2.5,3
v0011,Proposed,0.0304097,0.0363415,0.0695425,0.400542,0.0364894,21.4118,0,0.974292,0,0.5,-2,2.5,7.5
v0011,PDL-Hinf(d=0.95),0.10119,0.109675,0.270501,0.733567,0.0669903,46.3208,0.015,0.958722,0,0.5,-2,2.5,7.5
v0011,PDL-Hinf(d=0.90),0.118911,0.146181,0.360024,0.666187,0.0772706,59.4129,0.07,0.931504,0,0.5,-2,2.5,7.5
v0011,PDL-Hinf(d=0.85),0.137074,0.173951,0.48865,0.8,0.11599,71.561,0.21,0.915533,0,0.5,-2,2.5,7.5
v0100,Proposed,0.0195169,0.0363366,0.100006,0.488067,0.0511162,14.0889,0,0.982427,0,0.5,5,-0.5,3
v0100,PDL-Hinf(d=0.95),0.0782175,0.0868464,0.239241,0.400852,0.0416243,35.0284,0.085,0.96748,0,0.5,5,-0.5,3
v0100,PDL-Hinf(d=0.90),0.095583,0.121224,0.305159,0.401306,0.0565059,46.0455,0.275,0.941476,0,0.5,5,-0.5,3
v0100,PDL-Hinf(d=0.85),0.108362,0.145319,0.345392,0.612403,0.134253,54.0699,0.45,0.919349,0,0.5,5,-0.5,3
v0101,Proposed,0.0164402,0.0206758,0.042485,0.400542,0.0397416,17.5437,0,0.979492,0,0.5,5,-0.5,7.5
v0101,PDL-Hinf(d=0.95),0.0887064,0.0949691,0.243135,0.679988,0.0773148,40.7107,0,0.964276,0,0.5,5,-0.5,7.5
v0101,PDL-Hinf(d=0.90),0.107855,0.131809,0.342255,0.8,0.0927856,53.8112,0.065,0.937884,0,0.5,5,-0.5,7.5
v0101,PDL-Hinf(d=0.85),0.123343,0.160549,0.440629,0.8,0.134395,64.1788,0.12,0.917838,0,0.5,5,-0.5,7.5
v0110,Proposed,0.0275061,0.0473702,0.121498,0.400542,0.0303839,11.9275,0.035,0.982912,0,0.5,5,2.5,3
v0110,PDL-Hinf(d=0.95),0.0587865,0.0828588,0.180586,0.400852,0.0351289,24.1317,0.3,0.967226,0,0.5,5,2.5,3
v0110,PDL-Hinf(d=0.90),0.0654328,0.079851,0.177937,0.401306,0.0552558,28.4053,0.625,0.939707,0,0.5,5,2.5,3
v0110,PDL-Hinf(d=0.85),0.0702194,0.0789916,0.183874,0.555449,0.101804,30.2502,0.895,0.918233,0,0.5,5,2.5,3
v0111,Proposed,0.0181958,0.0255391,0.0530646,0.400542,0.0343064,16.2616,0,0.979664,0,0.5,5,2.5,7.5
v0111,PDL-Hinf(d=0.95),0.0864269,0.0932744,0.231907,0.400852,0.0357414,38.5025,0.045,0.963955,0,0.5,5,2.5,7.5
v0111,PDL-Hinf(d=0.90),0.103919,0.12836,0.304185,0.401306,0.0420115,50.1699,0.105,0.936679,0,0.5,5,2.5,7.5
v0111,PDL-Hinf(d=0.85),0.117133,0.155123,0.354751,0.631148,0.0717143,58.1596,0.16,0.917179,0,0.5,5,2.5,7.5
v1000,Proposed,0.0513026,0.117164,0.346225,0.542244,0.0649949,24.4558,0.12,0.901944,0,1.5,-2,-0.5,3
v1000,PDL-Hinf(d=0.95),20.3898,57.3457,272.695,0.744535,0.0951861,1.01797e+06,0.835,0.909498,1,1.5,-2,-0.5,3
v1000,PDL-Hinf(d=0.90),488.828,963.968,4620.78,0.454069,0.0566016,4.82281e+08,0.93,0.903589,1,1.5,-2,-0.5,3
v1000,PDL-Hinf(d=0.85),1039.09,1856.57,8902.63,0.434639,0.0524154,1.81085e+09,0.97,0.893132,1,1.5,-2,-0.5,3
v1001,Proposed,0.0191867,0.0217682,0.0733929,0.400542,0.0392871,16.463,0,0.916491,0,1.5,-2,-0.5,7.5
v1001,PDL-Hinf(d=0.95),0.0525014,0.0760569,0.281903,0.535998,0.0718322,24.6437,0.055,0.884347,0,1.5,-2,-0.5,7.5
v1001,PDL-Hinf(d=0.90),4.25558,8.56803,35.5535,0.8,0.155854,25640.1,0.855,0.856994,1,1.5,-2,-0.5,7.5
v1001,PDL-Hinf(d=0.85),282.264,617.436,2954.37,0.8,0.11116,1.43827e+08,0.89,0.831455,1,1.5,-2,-0.5,7.5
v1010,Proposed,0.0281926,0.0401527,0.111733,0.400542,0.0379517,14.5517,0.01,0.931201,0,1.5,-2,2.5,3
v1010,PDL-Hinf(d=0.95),0.0538789,0.0607884,0.168559,0.400852,0.0620601,22.8095,0.075,0.912668,0,1.5,-2,2.5,3
v1010,PDL-Hinf(d=0.90),0.0694384,0.0873463,0.222251,0.5335,0.126419,29.4514,0.335,0.897568,0,1.5,-2,2.5,3
v1010,PDL-Hinf(d=0.85),0.20014,0.275801,0.597833,0.475068,0.179094,76.0025,0.965,0.880754,0,1.5,-2,2.5,3
v1011,Proposed,0.0169892,0.0213535,0.0450543,0.400542,0.0369193,14.7415,0,0.919681,0,1.5,-2,2.5,7.5
v1011,PDL-Hinf(d=0.95),0.0463887,0.0538565,0.153984,0.496727,0.0582392,21.6643,0,0.899305,0,1.5,-2,2.5,7.5
v1011,PDL-Hinf(d=0.90),0.0551035,0.071233,0.244772,0.670698,0.0814779,25.4084,0.105,0.873198,0,1.5,-2,2.5,7.5
v1011,PDL-Hinf(d=0.85),0.0651913,0.0985317,0.319898,0.8,0.147066,29.8815,0.245,0.846967,0,1.5,-2,2.5,7.5
v1100,Proposed,0.0159285,0.0305283,0.117388,0.473385,0.0449178,12.3681,0.015,0.955898,0,1.5,5,-0.5,3
v1100,PDL-Hinf(d=0.95),0.0423928,0.0496713,0.152738,0.400852,0.0519719,19.7557,0.075,0.908792,0,1.5,5,-0.5,3
v1100,PDL-Hinf(d=0.90),0.0511303,0.0678258,0.18433,0.614291,0.105478,23.6715,0.11,0.878606,0,1.5,5,-0.5,3
v1100,PDL-Hinf(d=0.85),0.21086,0.266475,0.555994,0.8,0.345872,122.602,0.93,0.873061,0,1.5,5,-0.5,3
v1101,Proposed,0.0107458,0.0120971,0.0347093,0.400542,0.0392115,13.8352,0,0.947029,0,1.5,5,-0.5,7.5
v1101,PDL-Hinf(d=0.95),0.0427142,0.0488097,0.154482,0.502063,0.0691921,20.8514,0,0.866134,0,1.5,5,-0.5,7.5
v1101,PDL-Hinf(d=0.90),0.0525531,0.0675445,0.261172,0.655703,0.0961785,25.5475,0.09,0.841659,0,1.5,5,-0.5,7.5
v1101,PDL-Hinf(d=0.85),0.0644388,0.1025,0.335625,0.8,0.223063,33.9719,0.295,0.820025,0,1.5,5,-0.5,7.5
v1110,Proposed,0.0262169,0.0447493,0.140587,0.400542,0.03049,10.3108,0.03,0.961072,0,1.5,5,2.5,3
v1110,PDL-Hinf(d=0.95),0.0387047,0.0504831,0.166211,0.400852,0.0377993,16.4459,0.15,0.899004,0,1.5,5,2.5,3
v1110,PDL-Hinf(d=0.90),0.0412215,0.0444769,0.136882,0.423715,0.067854,18.8493,0.35,0.869896,0,1.5,5,2.5,3
v1110,PDL-Hinf(d=0.85),0.04344,0.0477313,0.12906,0.704982,0.138791,19.9237,0.6,0.857894,0,1.5,5,2.5,3
v1111,Proposed,0.0136977,0.0192636,0.0563836,0.400542,0.0333868,12.6509,0,0.94963,0,1.5,5,2.5,7.5
v1111,PDL-Hinf(d=0.95),0.0409385,0.0464487,0.133227,0.671175,0.0745626,19.6264,0.025,0.886486,0,1.5,5,2.5,7.5
v1111,PDL-Hinf(d=0.90),0.0486519,0.065155,0.176113,0.635507,0.0616201,22.7902,0.075,0.86144,0,1.5,5,2.5,7.5
v1111,PDL-Hinf(d=0.85),0.053538,0.0749966,0.212237,0.476197,0.073862,24.2707,0.105,0.836843,0,1.5,5,2.5,7.5
